Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2007,802,Southbank,Seats - Indoor,30,144.9621634,-37.82167968
2012,52,Melbourne (CBD),Seats - Indoor,4,144.9557168,-37.81571633
2013,309,North Melbourne,Seats - Outdoor,9,144.938198,-37.79557663
2018,67,Melbourne (CBD),Seats - Outdoor,2,144.96853,-37.81098009
2017,35,Melbourne (CBD),Seats - Indoor,79,144.9656577,-37.81541957
2009,246,Carlton,Seats - Outdoor,30,144.966446,-37.80178513
2019,58,Melbourne (CBD),Seats - Outdoor,8,144.972413,-37.81127672
2020,808,Southbank,Seats - Outdoor,8,144.9605087,-37.8252468
2021,559,Kensington,Seats - Indoor,40,144.9187654,-37.79214606
2002,254,Carlton,Seats - Outdoor,28,144.9661222,-37.80370014
2003,259,Carlton,Seats - Indoor,40,144.9596958,-37.80375437
2006,423,West Melbourne (Residential),Seats - Indoor,38,144.9494691,-37.80540026
2013,84,Melbourne (CBD),Seats - Indoor,135,144.9614724,-37.81124935
2024,437,West Melbourne (Residential),Seats - Outdoor,6,144.9542537,-37.80781408
2010,347,North Melbourne,Seats - Indoor,60,144.9496139,-37.80114341
2017,920,Parkville,Seats - Outdoor,20,144.9559628,-37.79854141
2022,340,North Melbourne,Seats - Indoor,7,144.9429106,-37.80428921
2020,72,Melbourne (CBD),Seats - Indoor,48,144.9560169,-37.8134766
2014,48,Melbourne (CBD),Seats - Indoor,10,144.9709029,-37.812234
2019,315,North Melbourne,Seats - Indoor,12,144.9413118,-37.79905532
2024,6,Melbourne (CBD),Seats - Outdoor,130,144.9689349,-37.81865919
2014,262,Carlton,Seats - Outdoor,12,144.9600381,-37.8044181
2023,919,Parkville,Seats - Outdoor,100,144.9565784,-37.80009421
2015,13,Melbourne (CBD),Seats - Outdoor,25,144.9611339,-37.81848797
2020,724,Melbourne (Remainder),Seats - Indoor,17,144.9798191,-37.8455379
2018,742,Southbank,Seats - Indoor,22,144.9679695,-37.82843323
2006,67,Melbourne (CBD),Seats - Indoor,50,144.9689119,-37.81076275
2003,56,Melbourne (CBD),Seats - Indoor,50,144.9672862,-37.81243254
2019,435,West Melbourne (Residential),Seats - Outdoor,6,144.9556037,-37.80606639
2009,435,West Melbourne (Residential),Seats - Indoor,60,144.9554422,-37.80604869
2013,74,Melbourne (CBD),Seats - Indoor,20,144.9603411,-37.81187439
2012,47,Melbourne (CBD),Seats - Indoor,86,144.9691653,-37.81279907
2006,268,Carlton,Seats - Indoor,70,144.9686038,-37.80578864
2005,1005,West Melbourne (Industrial),Seats - Outdoor,8,144.9108364,-37.80395329
2012,97,Melbourne (CBD),Seats - Indoor,45,144.9664575,-37.80822377
2011,1105,Docklands,Seats - Indoor,72,144.9492736,-37.81999404
2019,33,Melbourne (CBD),Seats - Outdoor,16,144.9606423,-37.81669009
2024,239,Carlton,Seats - Indoor,60,144.9583287,-37.80169537
2023,87,Melbourne (CBD),Seats - Outdoor,6,144.9687046,-37.80869914
2017,212,Carlton,Seats - Outdoor,22,144.9706731,-37.79365073
2004,259,Carlton,Seats - Indoor,40,144.9596958,-37.80375437
2009,206,Carlton,Seats - Outdoor,50,144.966741,-37.80004558
2009,1006,West Melbourne (Industrial),Seats - Indoor,37,144.9304924,-37.80805632
2018,1108,Docklands,Seats - Indoor,20,144.9437881,-37.82092615
2009,904,Parkville,Seats - Indoor,70,144.9586811,-37.78398214
2009,613,East Melbourne,Seats - Outdoor,34,144.9856254,-37.81004657
2002,414,West Melbourne (Residential),Seats - Indoor,22,144.9449138,-37.80643102
2010,247,Carlton,Seats - Outdoor,32,144.9672175,-37.80175883
2021,226,Carlton,Seats - Outdoor,6,144.9711917,-37.79514419
2003,242,Carlton,Seats - Outdoor,18,144.9622184,-37.80045935
2008,61,Melbourne (CBD),Seats - Outdoor,5,144.9548569,-37.81514661
2016,346,North Melbourne,Seats - Indoor,104,144.9494704,-37.80245853
2017,270,Parkville,Seats - Indoor,48,144.9612468,-37.79739836
2018,613,East Melbourne,Seats - Indoor,46,144.9856254,-37.81004657
2013,26,Melbourne (CBD),Seats - Indoor,80,144.9677066,-37.81546678
